2007.718000 6.271480 6.074000 8
2007.720700 -2.307151 3.512000 8
2007.723500 -4.071433 3.564000 8
2007.726200 3.928815 3.333000 8
2007.729000 -0.210517 3.365000 8
2007.731700 -3.371313 3.260000 8
2007.734400 -5.254609 3.421000 8
2007.737200 -3.258368 3.469000 8
2007.739900 0.079416 3.482000 8
2007.742600 9.164763 3.483000 8
2007.745400 -5.986223 3.188000 8
2007.748100 -1.267662 3.693000 8
2007.750900 -4.030341 3.817000 8
2007.753600 -2.693472 3.562000 8
2007.756300 3.655074 3.535000 8
2007.759100 19.939529 3.385000 8
2007.761800 11.611528 3.330000 8
2007.764500 2.755277 3.407000 8
2007.767300 -3.369907 3.708000 8
2007.770000 -7.424557 3.631000 8
2007.772800 5.395972 3.778000 8
2007.775500 -2.781976 3.427000 8
2007.778200 1.956950 3.401000 8
2007.781000 -2.227772 3.492000 8
2007.783700 -0.490993 3.412000 8
2007.786400 -3.893268 3.308000 8
2007.789200 4.442992 3.349000 8
2007.791900 5.414719 3.359000 8
2007.794700 1.755106 3.612000 8
2007.797400 3.546935 3.448000 8
2007.800100 -1.507171 3.491000 8
2007.802900 -4.224426 3.625000 8
2007.805600 -13.892290 3.391000 8
2007.808400 -6.507173 3.318000 8
2007.811100 -8.323705 3.490000 8
2007.813800 -5.585060 3.253000 8
2007.816600 -8.918238 3.469000 8
2007.819300 -10.694133 3.472000 8
2007.822000 -13.178792 3.462000 8
2007.824800 -6.354076 3.476000 8
2007.827500 -8.578160 3.445000 8
2007.830300 -5.591735 3.639000 8
2007.833000 -10.501173 3.364000 8
2007.835700 -6.553289 3.300000 8
2007.838500 -6.761700 3.360000 8
2007.841200 -8.531077 3.385000 8
2007.843900 -8.425090 3.426000 8
2007.846700 -10.294206 3.408000 8
2007.849400 -8.762405 3.250000 8
2007.852200 -6.627581 3.433000 8
2007.854900 -9.433925 3.559000 8
2007.857600 -1.985855 3.395000 8
2007.860400 -6.458579 3.335000 8
2007.863100 -2.114610 3.339000 8
2007.865800 -4.963210 3.387000 8
2007.868600 -7.827429 3.335000 8
2007.871300 -10.995105 3.499000 8
2007.874100 -4.911290 3.443000 8
2007.876800 -7.682040 3.400000 8
2007.879500 -3.820355 3.344000 8
2007.882300 -6.098020 3.324000 8
2007.885000 -3.630422 3.467000 8
2007.887700 -6.390402 3.357000 8
2007.890500 -10.891588 3.306000 8
2007.893200 -0.701692 3.218000 8
2007.896000 -5.694915 3.295000 8
2007.898700 -2.892182 3.509000 8
2007.901400 -10.798073 3.459000 8
2007.904200 -12.160967 3.452000 8
2007.906900 -9.475099 3.491000 8
2007.909700 -6.590165 3.437000 8
2007.912400 3.568395 3.378000 8
2007.915100 -5.719752 3.446000 8
2007.917900 -6.289744 3.454000 8
2007.920600 -13.392318 3.470000 8
2007.923300 -14.863663 3.338000 8
2007.926100 -12.262786 3.468000 8
2007.928800 -5.668704 3.530000 8
2007.931600 -5.912365 3.940000 8
2007.934300 0.480034 3.672000 8
2007.937000 -8.379474 3.594000 8
2007.939800 -9.693692 3.485000 8
2007.942500 -9.160068 3.415000 8
2007.945200 -11.857447 3.431000 8
2007.948000 -5.831527 3.724000 8
